Form,Lemma,Definition
dī,"deus, deī, {m.}","gods (nom pl, alternative for deī)"
ēst,"edō, edere, ēdī, ēsum",he/she/it eats (3rd sg present; the long ē distinguishes it from est 'is')
it,"eō, īre, īvī / iī, itum",he/she/it goes (3rd sg present)
ī,"eō, īre, īvī / iī, itum",go! (2nd sg imperative)
īte,"eō, īre, īvī / iī, itum",go! (2nd pl imperative)
iit,"eō, īre, īvī / iī, itum",he/she/it went (3rd sg perfect)
ībit,"eō, īre, īvī / iī, itum",he/she/it will go (3rd sg future)
ībis,"eō, īre, īvī / iī, itum",you will go (2nd sg future)
ībimus,"eō, īre, īvī / iī, itum",we shall go (1st pl future)
īsset,"eō, īre, īvī / iī, itum","had gone (3rd sg pluperfect subjunctive, shortened from īvisset)"
eat,"eō, īre, īvī / iī, itum",may go / let him go (3rd sg present subjunctive)
eundō,"eō, īre, īvī / iī, itum","by going (gerund, ablative)"
fātur,"for, fārī, fātus sum",he/she speaks (3rd sg present)
fābor,"for, fārī, fātus sum",I shall speak (1st sg future)
fandō,"for, fārī, fātus sum","in the speaking / by report (gerund, ablative)"
haec,"hic, haec, hoc",this (feminine nom / neuter pl)
hoc,"hic, haec, hoc",this (neuter nom/acc)
huius,"hic, haec, hoc",of this / his / hers / its
huic,"hic, haec, hoc",to/for this
hunc,"hic, haec, hoc",this (masculine acc)
hanc,"hic, haec, hoc",this (feminine acc)
hōc,"hic, haec, hoc",by/with/from this (masc/neut abl)
hāc,"hic, haec, hoc",by/with/from this (feminine abl)
hī,"hic, haec, hoc",these (masculine nom)
hae,"hic, haec, hoc",these (feminine nom)
hōrum,"hic, haec, hoc",of these (masc/neut gen)
hārum,"hic, haec, hoc",of these (feminine gen)
hōs,"hic, haec, hoc",these (masculine acc)
hās,"hic, haec, hoc",these (feminine acc)
hīs,"hic, haec, hoc",to/for/by/with/from these (dat/abl)
eiusdem,"īdem, eadem, idem",of the same / his same / her same
eīdem,"īdem, eadem, idem",to/for the same (dat sg) OR the same (masc nom pl)
eundem,"īdem, eadem, idem",the same (masc acc)
eandem,"īdem, eadem, idem",the same (fem acc)
eōdem,"īdem, eadem, idem",by/with/from the same (masc/neut abl)
